กรมวิทย์ฯ,กรมวิทยาศาสตร์การแพทย์
กรอ.,กองทุนเงินกู้ยืมเพื่อการศึกษาที่ผูกกับรายได้ในอนาคต
กศ.ด.,การศึกษาดุษฎีบัณฑิต
กศ.บ.,การศึกษาบัณฑิต
กศ.ม.,การศึกษามหาบัณฑิต
กศก.,กรมศุลกากร
กศน.,กรมส่งเสริมการเรียนรู้
กส.บ.,เกษตรศาสตรบัณฑิต
กสช.,กองงานคณะกรรมการกิจการวิทยุกระจายเสียงและวิทยุโทรทัศน์แห่งชาติ
กสท.,สำนักงานคณะกรรมการกิจการกระจายเสียงและกิจการโทรทัศน์
กสทช.,คณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ
กสร.,กรมสวัสดิการและคุ้มครองแรงงาน
กสส.,คณะกรรมการส่งเสริมและประสานงานสตรีแห่งชาติ
กสอ.,กรมส่งเสริมอุตสาหกรรม
กอ.รมน.,กองอำนวยการรักษาความมั่นคงภายใน
ขรก.,ข้าราชการ
ขส.ทบ.,กรมการขนส่งทหารบก
ขส.ทร.,กรมการขนส่งทหารเรือ
ขส.มก.,องค์การขนส่งมวลชนกรุงเทพ
ขสมก.,องค์การขนส่งมวลชนกรุงเทพ
ค.บ.,ครุศาสตรบัณฑิต
ค.ร.น.,ตัวคูณร่วมน้อย
ค.ศ.,คริสต์ศักราช
คจก.,โครงการจัดสรรที่ดินทำกินแก่ราษฎรผู้ยากไร้ในพื้นที่ป่าสงวนเสื่อมโทรม
คปภ.,สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย
คปอส.,สำนักงานคณะกรรมการประสานงานองค์กรเอกชนเพื่อการสาธารณสุขมูลฐาน
คมช.,คณะมนตรีความมั่นคงแห่งชาติ
ครป.,คณะกรรมการรณรงค์เพื่อประชาธิปไตย
ครม.,คณะรัฐมนตรี
ครส.,คณะกรรมการแรงงานสัมพันธ์
คสช.,คณะรักษาความสงบแห่งชาติ
คห.,คหกรรม
คอท.,โครงการจัดการเพื่ออนุรักษ์ทรัพยากรธรรมชาติ
คอทส.,คณะกรรมการอนุรักษ์ทรัพยากรธรรมชาติและสภาพแวดล้อม
คอส.,โครงการอาสาสมัครเพื่อสังคม
จ.ม.,จัตุรถาภรณ์มงกุฏไทย
จ.ศ.,จุลศักราช
จ.ส.อ.,จ่าสิบเอก
จท.,จ่าโท
จนท.,เจ้าหน้าที่
จปร.,มหาจุฬาลงกรณ์ปรมราชาธิราช
จยย.,จักรยานยนต์
จว.,จังหวัด
จส.100,วิทยุข่าวสารและการจราจร 100
จสต.,จ่าสิบตำรวจ
จสอ.,จ่าสิบเอก
ช.ค.,ลูกจ้างชั่วคราวของส่วนราชการ
ช.ค.บ.,เงินพิเศษช่วยค่าครองชีพผู้รับเบี้ยหวัดบำนาญ
ช.บ.ร.,ชุดรักษาความปลอดภัยหมู่บ้าน
ชม.,ชั่วโมง
ชรบ.,ชุดรักษาความปลอดภัยหมู่บ้าน
ซม.,เซนติเมตร
ฌกส.,ฌาปนกิจสงเคราะห์
ด.ช.,เด็กชาย
ด.ญ.,เด็กหญิง
ด.ต.,นายดาบตำรวจ
ดร.,ดอกเตอร์
ต.ค.,ตุลาคม
ต.ค,ต.ค
ต.ช.ด.,กองบัญชาการตำรวจตระเวนชายแดน
ต.ม,สำนักงานตรวจคนเข้าเมือง
ตชด.,กองบัญชาการตำรวจตระเวนชายแดน
ตปท.,ต่างประเทศ
ตม.,สำนักงานตรวจคนเข้าเมือง
ตร.,ตำรวจ
ตร.ว.,ตารางวา
ถ.พ.,ความถ่วงจำเพาะ
ท.ญ.,ทันตแพทย์หญิง
ท.ทบ.,สำนักงานผู้ช่วยทูตฝ่ายทหารบกไทย
ท.บ.,ทันตแพทยศาสตรบัณฑิต
ท.พ.,ทะเบียนพาณิชย์
ท.ร.ท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย
ทกท.,ท่าอากาศยานกรุงเทพ
ทค.,สำนักงานคณะกรรมการกิจการโทรคมนาคม
ททท.,การท่องเที่ยวแห่งประเทศไทย
ททบ.,สถานีวิทยุโทรทัศน์กองทัพบก
ทบ.,กองทัพบก
ทปอ.,ที่ประชุมอธิการบดีแห่งประเทศไทย
ทร.,กองทัพเรือ
ทรท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย
ทศท.,องค์การโทรศัพท์แห่งประเทศไทย
ทส.,นายทหารคนสนิท
ทอ.,กองทัพอากาศ
ทอท.,การท่าอากาศยานแห่งประเทศไทย
ที.วี.,โทรทัศน์
ที่ดินส.ป.ก.,ที่ดินสำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
ธ.ก.ส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
ธ.ก.ส,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
ธ.ค.,ธันวาคม
ธกส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร 
ธปท.,ธนาคารแห่งประเทศไทย
ธพส.,ธนารักษ์พัฒนาสินทรัพย์
ธอส.,ธนาคารอาคารสงเคราะห์
น.ช.,นักโทษชาย
น.ญ.,นักโทษหญิง
น.ท.,นาวาอากาศโท
น.น.,น้ำหนัก
น.บ.,นิติศาสตรบัณฑิต
น.พ.,นายแพทย์
น.ร.,นพรัตนราชวราภรณ์
น.ศ.,นักศึกษา
น.ส.,นางสาว
น.ส.พ.,หนังสือพิมพ์
น.ส.พ,หนังสือพิมพ์
น.สพ.,นายสัตวแพทย์
นคป.,หน่วยคุ้มครองประชาชน
นน.,น้ำหนัก
นปก.,กลุ่มแนวร่วมประชาธิปไตยขับไล่เผด็จการ
นปช.,แนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ
นพ.,นายแพทย์
นพค.,หน่วยพัฒนาการเคลื่อนที่
นร.,	นักเรียน
นศ.บ.,นิเทศศาตรบัณฑิต
นศ.ม.,นิเทศศาตรมหาบัณฑิต
นศท.,นักศึกษาวิชาทหาร
นสพ.,หนังสือพิมพ์
นอภ.,นายอำเภอ
บ.ก.,บรรณาธิการ
บ.ด.ท.,บริษัท เดินอากาศไทย จำกัด
บก.จร.,กองบังคับการตำรวจจราจร
บกท.,กองบัญชาการกองทัพไทย
บขส.,บริษัท ขนส่ง จำกัด
บงล.,บริษัทเงินทุนและหลักทรัพย์จำกัด
บช.,บัญชี
บชน.,กองบัญชาการตำรวจนครบาล
บบส.,บรรษัทบริหารสินทรัพย์สถาบันการเงิน
บพ.,กรมการบินพาณิชย์
บมจ.,บริษัทมหาชนจำกัด
บลจ.,บริษัทหลักทรัพย์จัดการกองทุน
ป. พิบูลสงคราม,จอมพล แปลก พิบูลสงคราม
ป.กศ.,ประกาศนียบัตรวิชาการศึกษา
ป.โท,ปริญญาโท
ป.ธ.,เปรียญธรรม
ป.ป.ง.,สำนักงานป้องกันและปราบปรามการฟอกเงิน
ป.ป.ช.,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
ป.ป.ป.,สำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตในภาครัฐ
ป.ป.ส.,คณะกรรมการป้องกันและปราบปรามยาเสพติด
ป.ป.ส,คณะกรรมการป้องกันและปราบปรามยาเสพติด
ป.ล.,ปัจฉิมลิขิต
ปกส.,สำนักงานประกันสังคมจังหวัดภูเก็ต สาขากะทู้
ปชต.,ประชาธิปไตย
ปชป.,พรรคประชาธิปัตย์
ปชร.,พรรคประชาธิปัตย์
ปชส.,ประชาสัมพันธ์
ปณ.,ไปรษณีย์
ปณก.,ไปรษณีย์กลาง
ปณจ.,ที่ทำการไปรษณีย์รับจ่าย
ปณช.,ที่ทำการไปรษณีย์อนุญาตเอกชน
ปณฝ.,ที่ทำการไปรษณีย์รับฝาก
ปณศ.,ที่ทำการศูนย์ไปรษณีย์ทางอากาศ
ปตท.,การปิโตรเลียมแห่งประเทศไทย
ปธน.,ประธานาธิบดี
ปปง.,สำนักงานป้องกันและปราบปรามการฟอกเงิน
ปปช.,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
ปรส.,องค์การเพื่อการปฏิรูประบบสถาบันการเงิน
ปล.,ปัจฉิมลิขิต
ปวช.,ประกาศนียบัตรวิชาชีพ
ปวท.,ประกาศนียบัตรวิชาชีพเทคนิค
ปวส.,ประกาศนียบัตรวิชาชีพชั้นสูง
ปส.,กรมประชาสงเคราะห์
ปอ.,รถโดยสารประจำทางปรับอากาศ
ปอ.พ.,รถโดยสารประจำทางปรับอากาศพิเศษ
ผกก.,ผู้กำกับ
ผกค.,ผู้ก่อการร้ายคอมมิวนิสต์
ผคท.,พรรคคอมมิวนิสต์แห่งประเทศไทย
ผจก.,ผู้จัดการ
ผจว.,ผู้ว่าราชการจังหวัด
ผช.,ผู้ช่วย
ผญ.,ผู้ใหญ่บ้าน
ผญบ.,ผู้ใหญ่บ้าน
ผบ.ช.ก.,กองบัญชาการตำรวจสอบสวนกลาง
ผบ.ทบ.,ผู้บัญชาการทหารบก
ผบ.ทร.,ผู้บัญชาการทหารเรือ
ผบ.ทอ.,ผู้บัญชาการทหารอากาศ
ผบ.,ผู้บังคับการ
ผบ.สส.,ผู้บัญชาการทหารสูงสุด
ผบก.ทล.,ผู้บังคับการตำรวจทางหลวง
ผบช.น.,กองบัญชาการตำรวจนครบาล
ผบช.น,กองบัญชาการตำรวจนครบาล
ผว.กทม.,ผู้ว่าราชการกรุงเทพมหานคร
ผวจ.,ผู้ว่าราชการจังหวัด
ผศ.,ผู้ช่วยศาสตราจารย์
ผอ.,ผู้อำนวยการ
พ.ก.ง.,พัสดุเก็บเงินปลายทาง
พ.ค.,พฤษภาคม
พ.ญ.,สัตวแพทย์หญิง
พ.ต.ต.,นายพันตำรวจตรี
พ.ต.ท.,นายพันตำรวจโท
พ.ต.ท,นายพันตำรวจโท
พ.ต.,พันตรี
พ.ต.อ.,นายพันตำรวจเอก
พ.ต.อ.พิเศษ,พันตำรวจเอกพิเศษ
พ.ร.ก.,พระราชกำหนด
พ.ร.ฎ.,พระราชกฤษฎีกา
พ.ร.บ.,พระราชบัญญัติ
พ.ศ.,พุทธศักราช
พ.อ.ต.,พันจ่าอากาศตรี
พ.อ.ท.,พันจ่าอากาศโท
พ.อ.,พันเอก
พ.อ.พิเศษ,พันเอกพิเศษ
พ.อ.อ.,พันจ่าอากาศเอก
พกส.,พนักงานเก็บค่าโดยสาร
พขร.,พนักงานขับรถ
พคก.,พรรคคอมมิวนิสต์กัมพูชา
พคจ.,พรรคคอมมิวนิสต์จีน
พคท.,พรรคคอมมิวนิสต์แห่งประเทศไทย
พงส.,พนักงานสอบสวน
พช.,สำนักงานพัฒนาชุมชนจังหวัด
พณ.บ.,พาณิชยศาสตรบัณฑิต
พท.,พื้นที่
พธม.,พันธมิตรประชาชนเพื่อประชาธิปไตย
พป.,สถาบันพระปกเกล้า
พปช.,พรรคประชาธิปัตย์
พม.,กรมพัฒนาสังคมและสวัสดิการ
พรบ.,พระราชบัญญัติ
พล.ต.ต.,นายพลตำรวจตรี
พล.ต.ท.,นายพลตำรวจโท
พล.ต.,พลตรี
พล.ต.อ.,นายพลตำรวจเอก
พล.ท.,พลโท
พล.ร.ต.,	พลเรือตรี
พล.ร.ท.,พลเรือโท
พล.อ.อ.,พลอากาศเอก
พว.,สำนักพระราชวัง
พสวท.,โครงการพัฒนาและส่งเสริมผู้มีความรู้ความสามารถพิเศษทางวิทยาศาสตร์และเทคโนโลยี
พอ.สว.,มูลนิธิแพทย์อาสาสมเด็จพระศรีนครินทราบรมราชชนนี
ฟ.,ฟาเรนไฮต์
ภ.ง.ด.,ภาษีเงินได้
ภ.ป.ร.,ภูมิพล บรมราชาธิราช
ภ.พ.,ภาษีมูลค่าเพิ่ม
ภก.,เภสัชกร
ภญ.,เภสัชกรหญิง
ภบท.,ภาษีบำรุงท้องที่
ม.ค.,มกราคม
ม.จ.,หม่อมเจ้า
ม.,เมตร
ม.ร.ว.,หม่อมราชวงศ์
ม.ร.ว,หม่อมราชวงศ์
ม.ล.,หม่อมหลวง
มก.,มิลลิกรัม
มช.,มหาวิทยาลัยเชียงใหม่
มท.1,รัฐมนตรีว่าการกระทรวงมหาดไทย
มธก.,มหาวิทยาลัยธรรมศาสตร์
มพด.,มูลนิธิเพื่อการพัฒนาเด็ก
มพบ.,มูลนิธิเพื่อผู้บริโภค
มม.ปรอท,มิลลิเมตรปรอท
มม.,มิลลิเมตร
มร.,	มิสเตอร์
มรภ.,มหาวิทยาลัยราชภัฎภูเก็ต
มรว.,หม่อมราชวงศ์
มล.,	มิลลิลิตร
มศว.,มหาวิทยาลัยศรีนครินทรวิโรฒ
มส.,มหาวิทยาลัยมหาสารคาม
มสธ.,มหาวิทยาลัยสุโขทันธรรมาธิราช
มอก.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
มิ.ย.,มิถุนายน
เม.ย.,เมษายน
ยธ.,	กรมโยธาธิการ
ร.ง.,โรงงาน
ร.ด.,กรมการรักษาดินแดน
ร.ต.ต.,นายร้อยตำรวจตรี
ร.ต.ท.,นายร้อยตำรวจโท
ร.ต.,ร้อยตรี
ร.ต.อ.,นายร้อยตำรวจเอก
ร.ท.,ร้อยโท
ร.น.,ราชนาวี
ร.บ.,รัฐศาสตรบัณฑิต
ร.พ.,โรงพิมพ์
ร.ฟ.ท.,การรถไฟแห่งประเทศไทย
ร.ฟ.ล.,รถไฟหลวง
ร.ย.ล.,ราชยานยนต์หลวง
ร.ย.ส.ท.,ราชยานยนต์สมาคมแห่งประเทศไทยในพระบรมราชูปถัมภ์
ร.,รัชกาล
ร.ร.,โรงเรียน
ร.ล.,เรือหลวง
ร.ศ.,รัตนโกสินทร์ศก
ร.ส.พ.,องค์การรับส่งสินค้าและพัสดุภัณฑ์
ร.อ.ต.,เรืออากาศตรี
ร.อ.ท.,เรืออากาศโท
ร.อ.,ร้อยเอก
ร.อ.อ.,เรืออากาศเอก
รง.,กระทรวงแรงงาน
รตอ.,ร้อยตำรวจเอก
รธน.,รัฐธรรมนูญ
รบ.,ราชบัณฑิตยสถาน
รป.ม.,รัฐประศาสนศาสตรมหาบัณฑิต
รปภ.,เจ้าหน้ารักษาความปลอดภัย
รพ.,โรงพยาบาล
รพช.,สำนักงานเร่งรัดพัฒนาชนบท
รฟท.,การรถไฟแห่งประเทศไทย
รฟม.,องค์การรถไฟฟ้ามหานคร
รมช.,รัฐมนตรีช่วยว่าการกระทรวง
รมต.,รัฐมนตรี
รมน.,รักษาความมั่นคงภายใน
รมว.,รัฐมนตรีว่าการกระทรวง
รร.จปร.,โรงเรียนนายร้อยพระจุลจอมเกล้า
รร.,โรงแรม
รศ.ดร.,รองศาสตราจารย์ ด็อกเตอร์
รศ.,รองศาสตราจารย์
รษก.,รักษาราชการแทน
รสก.,รัฐวิสาหกิจ
รสช.,คณะรักษาความสงบเรียบร้อยแห่งชาติ
รอ.,กรมราชองครักษ์กระทรวงกลาโหม
ล.ญ.,ลูกเสือสามัญรุ่นใหญ่
ล.,ลิตร
ล.ว.,ลูกเสือวิสามัญ
ลบ.ซม.,ลูกบาศก์เซนติเมตร
ลส.ชบ.,ลูกเสือชาวบ้าน
ว.ค.,วิทยาลัยครู
ว.ด.ป.,วัน เดือน ปี
วค.,วิทยาลัยครู
วช.,สำนักงานคณะกรรมการวิจัยแห่งชาติ
วท.บ.,วิทยาศาสตรบัณฑิต
วท.,	วิทยาลัยเทคนิค
วปอ.,วิทยาลัยป้องกันราชอาณาจักร
วศ.บ.,วิศวกรรมศาสตรบัณฑิต
วอศ.,วิทยาลัยอาชีวศึกษา
ศ.บ.,เศรษฐศาสตรบัณฑิต
ศ.,ศาสตราจารย์
ศก.,กรมศุลกากร
ศนท.,ศูนย์กลางนิสิตนักศึกษาแห่งประเทศไทย
ศบอ.,ศูนย์บริการเอกสารการวิจัยแห่งประเทศไทย
ศปช.,ศูนย์ประสานการพัฒนาชนบทแห่งชาติ
ศศ.บ.,ศิลปศาสตรบัณฑิต
ศศ.ม.,ศิลปศาสตรมหาบัณฑิต
ศษ.บ.,ศึกษาศาสตรบัณฑิต
ศสส.ภ.,ศูนย์ปฏิบัติการเพื่อสันติภาพ
ศอ.,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ
ศอพป.,ศูนย์อาสาพัฒนาและป้องกันตนเอง
ส.ก.,สมาชิกสภากรุงเทพมหานคร
ส.ค.1,หลักฐานการแจ้งการครอบครองที่ดิน
ส.ค.,สิงหาคม
ส.ค.ส.,ส่งความสุขปีใหม่
ส.ต.ต.,นายสิบตำรวจตรี
ส.ต.ท.,นายสิบตำรวจโท
ส.ต.,สิบตรี
ส.ต.อ.,นายสิบตำรวจเอก
ส.ท.ท.,สมาคมสันนิบาตเทศบาลแห่งประเทศไทย
ส.ทร.,สถานีวิทยุเสียงจากทหารเรือ
ส.ป.ก.,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
ส.ว.ท.,สมาคมวางแผนครอบครัวแห่งประเทศไทย
ส.ว.ส.ท.,สมาคมวิทยุสมัครเล่นแห่งประเทศไทย
ส.ว.,สมาชิกวุฒิสภา
ส.ส.ปชป.,สมาชิกสภาผู้แทนราษฏร พรรคประชาธิปัตย์
ส.ส.,สมาชิกสภาผู้แทนราษฏร
ส.ห.,สารวัตรทหาร
ส.อ.ท.,สภาอุตสาหกรรมแห่งประเทศไทย
ส.อ.ท,สภาอุตสาหกรรมแห่งประเทศไทย
ส.อ.,สิบเอก
สกท.,สำนักงานคณะกรรมการส่งเสริมการลงทุน
สกว.,สำนักงานกองทุนสนับสนุนการวิจัย
สกศ.,สำนักงานคณะกรรมการการศึกษาแห่งชาติ
สขช.,สำนักข่าวกรองแห่งชาติ
สค.,สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา
สคบ.,สำนักงานคณะกรรมการคุ้มครองผู้บริโภค
สคส.,สมัชชาองค์กรเอกชนด้านการคุ้มครองสิ่งแวดล้อมและอนุรักษ์ทรัพยากรธรรมชาติ
สจ.,สมาชิกสภาจังหวัด
สจร.,สำนักงานคณะกรรมการจัดระบบการจราจรทางบก
สช.,สำนักงานคณะกรรมการการศึกษาเอกชน
สต.,สตางค์
สตง.,สำนักงานตรวจเงินแผ่นดิน
สตช.,สำนักงานตำรวจแห่งชาติ
สตอ.,สิบตำรวจเอก
สถ.บ.,สถาปัตยกรรมศาสตรบัณฑิต
สทก.,ใบรับรองสิทธิทำกิน
สทท.11,สถานีวิทยุโทรทัศน์แห่งประเทศไทย 11
สทท.,สถานีวิทยุโทรทัศน์แห่งประเทศไทย
สทร.,สำนักงานกลางทะเบียนราษฎร์
สน.,สถานีตำรวจนครบาล
สนง.ท่องเที่ยวฯ,กระทรวงการท่องเที่ยวและกีฬา
สนง.,สำนักงาน
สนญ.,สำนักงานใหญ่
สนนท.,สหพันธ์นิสิตนักศึกษาแห่งประเทศไทย
สป.,สำนักงานปลัดกระทรวงศึกษาธิการ
สปก.,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
สปจ.,สำนักงานการประถมศึกษาจังหวัด
สปช.,สำนักงานคณะกรรมการการประถมศึกษาแห่งชาติ
สปน.,สำนักงานปลัดสำนักนายกรัฐมนตรี
สปรส.,สำนักงานปฏิรูประบบสุขภาพแห่งชาติ
สปศ.,สำนักงานการปฏิรูปการศึกษา
สปส.,สำนักงานประกันสังคม
สปสช.,สำนักงานหลักประกันสุขภาพแห่งชาติ
สปอ.,สำนักงานการประถมศึกษาอำเภอ
สผ.,สำนักงานนโยบายและแผนสิ่งแวดล้อม
สพช.,สำนักงานคณะกรรมการนโยบายพลังงานแห่งชาติ
สพท.,สหพันธ์นิสิตนักศึกษาแพทย์แห่งประเทศไทย
สภ.,สถานีตำรวจภูธร
สภอ.,สถานีตำรวจภูธรอำเภอ
สมช.,สำนักงานสภาความมั่นคงแห่งชาติ
สมอ.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม
สยช.,สำนักงานคณะกรรมการส่งเสริมและประสานงานเยาวชนแห่งชาติ
สร.รฟท,สหกรณ์ออมสหภาพแรงงานรัฐวิสาหกิจรถไฟแห่งประเทศไทย จำกัด
สรส.,สมาพันธ์แรงงานรัฐวิสาหกิจสัมพันธ์
สลค.,สำนักเลขาธิการคณะรัฐมนตรี
สวช.,สำนักงานโครงการสอบวัดทักษะวิชาการระดับชาติ
สวญ.,สารวัตรใหญ่
สวท.,สถานีวิทยุกระจายเสียงแห่งประเทศไทย
สวทช.,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ
สวป.,สารวัตรปราบปราม
สวพ.91,สถานีวิทยุพิทักษ์สันติราษฎร์ 91
สวล.,สำนักงานคณะกรรมการสิ่งแวดล้อมแห่งชาติ
สวส.,สารวัตรสอบสวน
สศค.,สำนักงานเศรษฐกิจการคลัง
สศช.,สำนักงานคณะกรรมการพัฒนาการเศรษฐกิจและสังคมแห่งชาติ
สส.บ.,สังคมสงเคราะห์ศาสตรบัณฑิต
สส.,สภาผู้แทนราษฎร
